"estacion";"numEst";"grupoKmeans";"grupoJerarquico"
"PZA. DE ESPANA";4;1;1
"ESCUELAS AGUIRRE";8;4;1
"AV. RAMON Y CAJAL";11;2;1
"ARTURO SORIA";16;1;1
"VILLAVERDE ALTO";17;4;1
"C/ FAROLILLO";18;1;1
"CASA DE CAMPO";24;3;2
"BARAJAS";27;1;2
"PLAZA DEL CARMEN";35;5;3
"MORATALAZ";36;5;3
"CUATRO CAMINO";38;2;3
"BARRIO DEL PILAR";39;1;3
"PUENTE DE VALLECAS";40;5;3
"MENDEZ ALVARO";47;1;4
"CASTELLANA";48;5;4
"RETIRO";49;3;4
"PLAZA CASTILLA-CANAL";50;2;4
"ENSANCHE DE VALLECAS";54;1;5
"URBANIZACION EMBAJADA";55;2;4
"PLAZA ELIPTICA";56;4;4
"SANCHINARRO";57;1;5
"EL PARDO";58;3;5
"JUAN CARLOS I";59;3;5
"TRES OLIVOS";60;5;5
