"PARQUE";"Altura Promedio (m)";"Perimetro Promedio (cm)";"Recién plantado y no consolidado";"Joven";"Maduro";"Viejo";"Otros";"Total (sin tocones)";"Total (con tocones)"
"CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA";4,1;38,19;332;5522;6795;131;1;12781;12781
"PARQUE DE LA DEHESA DE LA VILLA";7,73;102,58;168;1176;7127;181;14;8666;8670
"Z.V. DISTRITO C-LAS TABLAS";3,97;18,76;0;1071;2;0;0;1073;1073
"EL CAPRICHO DE LA ALAMEDA DE OSUNA";12,61;80,51;82;556;2513;379;8;3538;3538
"JARDINES DEL BUEN RETIRO";9,87;92,46;328;5620;10225;952;16;17141;17141
"JARDINES PLAZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO";10,24;130,74;3;20;227;2;0;252;252
"JARDINES DE SABATINI";8,01;129,54;0;9;208;1;0;218;218
"PARQUE DEL OESTE- TEMPLO DE DEBOD";13,13;99,19;126;1308;5843;148;7;7432;7442
"QUINTA FUENTE DEL BERRO";10,16;82,09;27;215;874;13;6;1135;1135
"QUINTA DE LOS MOLINOS";12,75;63,25;42;303;6351;37;3;6736;6738
"ROSALEDA DE MADRID (PARQUE DEL OESTE)";13,38;154,22;4;13;63;35;0;115;115
"PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI";3,88;26,76;1909;3379;256;102;0;5646;5646
"PARQUE JUAN CARLOS I";4,75;42,92;316;453;12948;464;88;14269;14269
"PARQUE JUAN PABLO II";4,54;33,98;69;783;681;0;7;1540;1540
"PARQUE MADRID RÍO";5,62;32,39;2;8125;6603;185;1;14916;14916
"PARQUE LINEAL DEL MANZANARES";4,77;26,64;0;11209;4598;82;0;15889;15889
